cation,anion_family,compound_name,formula,base_formula,hydration,hydration_formula,phase_at_25C,state_description,molar_mass_g_per_mol,DfH0_kJ_per_mol,DfH_298K_kJ_per_mol,DfG_298K_kJ_per_mol,H_H0_298K_kJ_per_mol,S_298K_J_per_molK,Cp_298K_J_per_molK,Cp_mass_J_per_kgK_298K,Tm_C,Tm_K,Tb_C,Tb_K,Td_C,Hfus_kJ_per_mol,Hvap_kJ_per_mol,Hsub_kJ_per_mol,density_g_per_cm3,thermal_conductivity_W_per_mK,viscosity_mPa_s,hardness_Mohs,stability_range_C_min,stability_range_C_max,decomposition_products,Cp_equation_type,Cp_coeff_a,Cp_coeff_b,Cp_coeff_c,Cp_temp_range_K_min,Cp_temp_range_K_max,pressure_kPa,source_thermodynamic,source_physical_properties,source_transition_temps,data_quality,CAS,notes,CID_pubchem,color,odor,solubility,stability,toxicity_hazard,Tm_C_pubchem,Tb_C_pubchem,Td_C_pubchem,density_pubchem,flash_point_C,vapor_pressure_mmHg
La,chloride,Lanthanum chloride,LaCl3·7H2O,LaCl3,7-hydrate,7H2O,solid,,371.3768,,-3178.6,-2712.9,71.63,462.8,431.0,1160.5463776951065,,,,,,,,,,,,,,,,,,,,,,101.325,NBS Tables,,,A,,,,,,,,,,,,,,
La,sulfate,,La2(SO4)3·9H2O,La2(SO4)3,9-hydrate,9H2O,solid,,728.1434,,-6648.0,,,,636.0,873.4543223216746,,,,,,,,,,,,,,,,,,,,,,101.325,NBS Tables,,,A,,,,,,,,,,,,,,
Mg,chloride,Magnesium chloride,MgCl2·H2O,MgCl2,monohydrate,H2O,solid,,113.2334,,-966.63,-861.74,,137.2,115.27,1017.985859295932,,,,,,,,,,,,,,,,,,,,,,101.325,NBS Tables,,,A,,,,,,,,,,,,,,
Mg,chloride,Magnesium chloride,MgCl2·2H2O,MgCl2,dihydrate,2H2O,solid,,131.2488,,-1279.72,-1118.0,,179.9,159.2,1212.963470904115,,,,,,,,,,,,,,,,,,,,,,101.325,NBS Tables,,,A,,,,,,,,,,,,,,
Mg,chloride,Magnesium chloride,MgCl2·4H2O,MgCl2,4-hydrate,4H2O,solid,,167.2796,,-1898.99,-1623.29,,264.0,241.42,1443.2124419235818,,,,,,,,,,,,,,,,,,,,,,101.325,NBS Tables,,,A,,,,,,,,,,,,,,
Mg,chloride,Magnesium chloride,MgCl2·6H2O,MgCl2,6-hydrate,6H2O,solid,,203.3104,,-2499.02,-2114.64,,366.1,315.06,1549.6501900542228,,,,,,,,,,,,,,,,,,,,,,101.325,NBS Tables,,,A,,,,,,,,,,,,,,
Mg,chloride,,MgO·MgCl2·6H2O,MgO·MgCl2,6-hydrate,6H2O,solid,,243.6218,,-3114.6,,,,,,,,,,,,,,,,,,,,,,,,,,,101.325,NBS Tables,,,A,,,,,,,,,,,,,,
Mg,chloride,,MgO·MgCl2·16H2O,MgO·MgCl2,16-hydrate,16H2O,solid,,423.7758,,-6037.1,,,,,,,,,,,,,,,,,,,,,,,,,,,101.325,NBS Tables,,,A,,,,,,,,,,,,,,
Mg,sulfite,Magnesium sulfite,MgSO3·3H2O,MgSO3,trihydrate,3H2O,solid,,158.4204,,-1931.8,-1674.7,,209.2,,,,,,,,,,,,,,,,,,,,,,,,101.325,NBS Tables,,,A,,,,,,,,,,,,,,
Mg,sulfite,Magnesium sulfite,MgSO3·6H2O,MgSO3,6-hydrate,6H2O,solid,,212.4666,,-2817.5,-2385.4,,322.2,,,,,,,,,,,,,,,,,,,,,,,,101.325,NBS Tables,,,A,,,,,,,,,,,,,,
Mg,sulfate,Magnesium sulfate,MgSO4·H2O,MgSO4,monohydrate,H2O,solid,,138.389,,-1602.1,-1428.7,,126.4,,,,,,,,,,,,,,,,,,,,,,,,101.325,NBS Tables,,,A,,,,,,,,,,,,,,
Mg,sulfate,Magnesium sulfate,MgSO4·H2O,MgSO4,monohydrate,H2O,amorphous,,138.389,,-1574.9,-1404.9,,138.1,,,,,,,,,,,,,,,,,,,,,,,,101.325,NBS Tables,,,A,,,,,,,,,,,,,,
Mg,sulfate,Magnesium sulfate,MgSO4·2H2O,MgSO4,dihydrate,2H2O,solid,,156.4044,,-1896.2,,,,,,,,,,,,,,,,,,,,,,,,,,,101.325,NBS Tables,,,A,,,,,,,,,,,,,,
Mg,sulfate,Magnesium sulfate,MgSO4·4H2O,MgSO4,4-hydrate,4H2O,solid,,192.4352,,-2496.6,,,,,,,,,,,,,,,,,,,,,,,,,,,101.325,NBS Tables,,,A,,,,,,,,,,,,,,
Mg,sulfate,Magnesium sulfate,MgSO4·6H2O,MgSO4,6-hydrate,6H2O,solid,,228.466,,-3087.0,-2631.8,,348.1,348.11,1523.6840492677247,,,,,,,,,,,,,,,,,,,,,,101.325,NBS Tables,,,A,,,,,,,,,,,,,,
Mg,sulfate,Magnesium sulfate,MgSO4·7H2O,MgSO4,7-hydrate,7H2O,solid,,246.4814,,-3388.71,-2871.5,,372.0,,,,,,,,,,,,,,,,,,,,,,,,101.325,NBS Tables,,,A,,,,,,,,,,,,,,
Mg,oxide,,MgS2O3·3H2O,MgS2O3,trihydrate,3H2O,solid,,190.4844,,-1948.1,,,,,,,,,,,,,,,,,,,,,,,,,,,101.325,NBS Tables,,,A,,,,,,,,,,,,,,
Mg,oxide,,MgS2O3·6H2O,MgS2O3,6-hydrate,6H2O,solid,,244.5306,,-2848.5,,,,,,,,,,,,,,,,,,,,,,,,,,,101.325,NBS Tables,,,A,,,,,,,,,,,,,,
Mg,oxide,,MgS3O3·6H2O,MgS3O3,6-hydrate,6H2O,solid,,259.3626,,-2707.05,,,,,,,,,,,,,,,,,,,,,,,,,,,101.325,NBS Tables,,,A,,,,,,,,,,,,,,
Mg,carbonate,nesquehonite,MgCO3·3H2O,MgCO3,trihydrate,3H2O,solid,,138.3676,,,-1726.1,,,,,,,,,,,,,,,,,,,,,,,,,,101.325,NBS Tables,,,A,,,,,,,,,,,,,,
Mg,carbonate,lansfordite,MgCO3·5H2O,MgCO3,5-hydrate,5H2O,solid,,174.3984,,,-2199.2,,,,,,,,,,,,,,,,,,,,,,,,,,101.325,NBS Tables,,,A,,,,,,,,,,,,,,
Mg,oxide,,MgC2O4·2H2O,MgC2O4,dihydrate,2H2O,solid,,148.3628,,,-1633.3,,,,,,,,,,,,,,,,,,,,,,,,,,101.325,NBS Tables,,,A,,,,,,,,,,,,,,
Ca,oxide,,CaO2·8H2O,CaO2,8-hydrate,8H2O,solid,,216.202,,-3004.9,,,,,,,,,,,,,,,,,,,,,,,,,,,101.325,NBS Tables,,,A,,,,,,,,,,,,,,
Ca,chloride,Calcium chloride,CaCl2·H2O,CaCl2,monohydrate,H2O,solid,,129.0014,,-1109.2,,,,,,,,,,,,,,,,,,,,,,,,,,,101.325,NBS Tables,,,A,,,,,,,,,,,,,,
Ca,chloride,Calcium chloride,CaCl2·2H2O,CaCl2,dihydrate,2H2O,solid,,147.0168,,-1402.9,,,,,,,,,,,,,,,,,,,,,,,,,,,101.325,NBS Tables,,,A,,,,,,,,,,,,,,
Ca,chloride,Calcium chloride,CaCl2·4H2O,CaCl2,4-hydrate,4H2O,solid,,183.0476,,-2009.6,,,,,,,,,,,,,,,,,,,,,,,,,,,101.325,NBS Tables,,,A,,,,,,,,,,,,,,
Ca,chloride,Calcium chloride,CaCl2·6H2O,CaCl2,6-hydrate,6H2O,solid,,219.0784,,-2607.9,,,,,,,,,,,,,,,,,,,,,,,,,,,101.325,NBS Tables,,,A,,,,,,,,,,,,,,
Ca,chloride,,Ca(OCl)Cl·H2O,Ca(OCl)Cl,monohydrate,H2O,solid,,145.0008,,-1042.2,,,,,,,,,,,,,,,,,,,,,,,,,,,101.325,NBS Tables,,,A,,,,,,,,,,,,,,
Ca,chloride,,CaCl2·3CaO·3H2O,CaCl2·3CaO,trihydrate,3H2O,solid,,333.2704,,-3807.0,,,,,,,,,,,,,,,,,,,,,,,,,,,101.325,NBS Tables,,,A,,,,,,,,,,,,,,
Ca,chloride,,CaCl2·3CaO·16H2O,CaCl2·3CaO,16-hydrate,16H2O,solid,,567.4706,,-7665.0,,,,,,,,,,,,,,,,,,,,,,,,,,,101.325,NBS Tables,,,A,,,,,,,,,,,,,,
Ca,oxide,,CaBr2·3CaO·16H2O,CaBr2·3CaO,16-hydrate,16H2O,solid,,656.3826,,-7577.0,,,,,,,,,,,,,,,,,,,,,,,,,,,101.325,NBS Tables,,,A,,,,,,,,,,,,,,
Ca,oxide,,CaI2·3CaO·16H2O,CaI2·3CaO,16-hydrate,16H2O,solid,,750.3734,,-7443.0,,,,,,,,,,,,,,,,,,,,,,,,,,,101.325,NBS Tables,,,A,,,,,,,,,,,,,,
Ca,sulfite,,CaSO3·0.5H2O,CaSO3·0,5-hydrate,5H2O,solid,,129.1499,,-1311.7,-1199.23,,121.3,,,,,,,,,,,,,,,,,,,,,,,,101.325,NBS Tables,,,A,,,,,,,,,,,,,,
Ca,sulfate,,CaSO4·0.5H2O,CaSO4·0,5-hydrate,5H2O,solid,"macrocrystalline, α",145.1493,,-1576.74,-1436.74,,130.5,119.41,822.6701747786589,,,,,,,,,,,,,,,,,,,,,,101.325,NBS Tables,,,A,,,,,,,,,,,,,,
Ca,sulfate,,CaSO4·0.5H2O,CaSO4·0,5-hydrate,5H2O,solid,"microcrystalline, β",145.1493,,-1574.65,-1435.78,,134.3,124.22,855.8084675571979,,,,,,,,,,,,,,,,,,,,,,101.325,NBS Tables,,,A,,,,,,,,,,,,,,
Ca,sulfate,Calcium sulfate,CaSO4·2H2O,CaSO4,dihydrate,2H2O,solid,selenite,172.1724,,-2022.63,-1797.28,,194.1,186.02,1080.4286865955287,,,,,,,,,,,,,,,,,,,,,,101.325,NBS Tables,,,A,,,,,,,,,,,,,,
Ca,oxide,dithionate,CaS2O6·4H2O,CaS2O6,4-hydrate,4H2O,solid,,272.266,,-2916.0,,,,,,,,,,,,,,,,,,,,,,,,,,,101.325,NBS Tables,,,A,,,,,,,,,,,,,,
Ca,oxide,hyponitrite,CaN2O2·4H2O,CaN2O2,4-hydrate,4H2O,solid,,172.1538,,-1705.0,,,,,,,,,,,,,,,,,,,,,,,,,,,101.325,NBS Tables,,,A,,,,,,,,,,,,,,
Ca,phosphate,,CaHPO4·2H2O,CaHPO4,dihydrate,2H2O,solid,,172.0902,-2376.646,-2403.58,-2154.58,31.338,189.45,197.07,1145.155273222996,,,,,,,,,,,,,,,,,,,,,,101.325,NBS Tables,,,A,,,,,,,,,,,,,,
Ca,phosphate,,Ca(H2PO4)2·H2O,Ca(H2PO4)2,monohydrate,H2O,solid,,252.0702,-3370.409,-3409.67,-3058.18,41.631,259.8,258.82,1026.777461199301,,,,,,,,,,,,,,,,,,,,,,101.325,NBS Tables,,,A,,,,,,,,,,,,,,
Ca,phosphate,,Ca8H2(PO4)6·5H2O,Ca8H2(PO4)6,5-hydrate,5H2O,solid,,982.5614,,,-12263.0,,,,,,,,,,,,,,,,,,,,,,,,,,101.325,NBS Tables,,,A,,,,,,,,,,,,,,
Ca,phosphate,,Ca(H2PO4)2·H2O·NH3,Ca(H2PO4)2,monohydrate,H2O,solid,,269.1009,,-3504.1,,,,,,,,,,,,,,,,,,,,,,,,,,,101.325,NBS Tables,,,A,,,,,,,,,,,,,,
Ca,phosphate,,Ca(H2PO4)2·H2O·2NH3,Ca(H2PO4)2,monohydrate,H2O,solid,,286.1316,,-3588.2,,,,,,,,,,,,,,,,,,,,,,,,,,,101.325,NBS Tables,,,A,,,,,,,,,,,,,,
Ca,phosphate,,Ca(H2PO4)2·H2O·4NH3,Ca(H2PO4)2,monohydrate,H2O,solid,,320.193,,-3743.8,,,,,,,,,,,,,,,,,,,,,,,,,,,101.325,NBS Tables,,,A,,,,,,,,,,,,,,
Ca,oxide,,CaC2O4·H2O,CaC2O4,monohydrate,H2O,solid,,146.1154,,-1674.86,-1513.87,,156.5,152.8,1045.7487711767549,,,,,,,,,,,,,,,,,,,,,,101.325,NBS Tables,,,A,,,,,,,,,,,,,,
Ca,oxide,lawsonite,CaO·Al2O3·2SiO2·2H2O,CaO·Al2O3·2SiO2,dihydrate,2H2O,solid,,314.241,,-4858.5,-4505.1,,237.7,285.18,907.5200244398408,,,,,,,,,,,,,,,,,,,,,,101.325,NBS Tables,,,A,,,,,,,,,,,,,,
Ca,chloride,,CaCl2·2MgCl2·2H2O,CaCl2·2MgCl2,dihydrate,2H2O,solid,,337.4528,,-2949.3,,,,,,,,,,,,,,,,,,,,,,,,,,,101.325,NBS Tables,,,A,,,,,,,,,,,,,,
Sr,oxide,,SrO2·8H2O,SrO2,8-hydrate,8H2O,solid,,263.742,,-3023.4,,,,,,,,,,,,,,,,,,,,,,,,,,,101.325,NBS Tables,,,A,,,,,,,,,,,,,,
Sr,chloride,Strontium chloride,SrCl2·H2O,SrCl2,monohydrate,H2O,solid,,176.5414,,-1136.8,-1036.3,,172.0,120.1,680.2936874863345,,,,,,,,,,,,,,,,,,,,,,101.325,NBS Tables,,,A,,,,,,,,,,,,,,
Sr,chloride,Strontium chloride,SrCl2·2H2O,SrCl2,dihydrate,2H2O,solid,,194.5568,,-1438.0,-1281.8,,218.0,160.2,823.4099245053372,,,,,,,,,,,,,,,,,,,,,,101.325,NBS Tables,,,A,,,,,,,,,,,,,,
Sr,chloride,Strontium chloride,SrCl2·6H2O,SrCl2,6-hydrate,6H2O,solid,,266.6184,,-2623.8,-2240.92,,390.8,,,,,,,,,,,,,,,,,,,,,,,,101.325,NBS Tables,,,A,,,,,,,,,,,,,,
Sr,chloride,,SrCl2·SrO·0.9H2O,SrCl2·SrO·0,9-hydrate,9H2O,solid,,424.284,,-4211.6,,,,,,,,,,,,,,,,,,,,,,,,,,,101.325,NBS Tables,,,A,,,,,,,,,,,,,,
Sr,oxide,,SrBr2·SrO·3H2O,SrBr2·SrO,trihydrate,3H2O,solid,,405.1036,,-2313.8,,,,,,,,,,,,,,,,,,,,,,,,,,,101.325,NBS Tables,,,A,,,,,,,,,,,,,,
Sr,oxide,,SrBr2·SrO·9H2O,SrBr2·SrO,9-hydrate,9H2O,solid,,513.196,,-4121.2,,,,,,,,,,,,,,,,,,,,,,,,,,,101.325,NBS Tables,,,A,,,,,,,,,,,,,,
Sr,oxide,,SrS2O6·4H2O,SrS2O6,4-hydrate,4H2O,solid,,319.806,,-2925.0,,,,,,,,,,,,,,,,,,,,,,,,,,,101.325,NBS Tables,,,A,,,,,,,,,,,,,,
Sr,oxide,hyponitrite,SrN2O2·5H2O,SrN2O2,5-hydrate,5H2O,solid,,237.7092,,-1992.0,,,,,,,,,,,,,,,,,,,,,,,,,,,101.325,NBS Tables,,,A,,,,,,,,,,,,,,
Ba,oxide,,BaO2·H2O,BaO2,monohydrate,H2O,solid,,187.3542,,-930.1,,,,,,,,,,,,,,,,,,,,,,,,,,,101.325,NBS Tables,,,A,,,,,,,,,,,,,,
Ba,oxide,,BaO2·8H2O,BaO2,8-hydrate,8H2O,solid,,313.462,,-3006.6,,,,,,,,,,,,,,,,,,,,,,,,,,,101.325,NBS Tables,,,A,,,,,,,,,,,,,,
Ba,oxide,,BaO2·H2O2,BaO2,monohydrate,H2O,solid,,203.3536,,-872.4,,,,,,,,,,,,,,,,,,,,,,,,,,,101.325,NBS Tables,,,A,,,,,,,,,,,,,,
Ba,chloride,Barium chloride,BaCl2·H2O,BaCl2,monohydrate,H2O,solid,,226.2614,,-1160.6,-1055.63,,166.9,,,,,,,,,,,,,,,,,,,,,,,,101.325,NBS Tables,,,A,,,,,,,,,,,,,,
Ba,chloride,Barium chloride,BaCl2·2H2O,BaCl2,dihydrate,2H2O,solid,,244.2768,,-1460.13,-1296.32,,202.9,161.96,663.0183464004768,,,,,,,,,,,,,,,,,,,,,,101.325,NBS Tables,,,A,,,,,,,,,,,,,,
Ba,chloride,,BaCl2·BaO·3H2O,BaCl2·BaO,trihydrate,3H2O,solid,,415.6316,,-2418.4,,,,,,,,,,,,,,,,,,,,,,,,,,,101.325,NBS Tables,,,A,,,,,,,,,,,,,,
Ba,chloride,,BaCl2·BaO·5H2O,BaCl2·BaO,5-hydrate,5H2O,solid,,451.6624,,-3041.8,,,,,,,,,,,,,,,,,,,,,,,,,,,101.325,NBS Tables,,,A,,,,,,,,,,,,,,
Ba,chloride,,BaCl2·BaO·8H2O,BaCl2·BaO,8-hydrate,8H2O,solid,,505.7086,,-3896.1,,,,,,,,,,,,,,,,,,,,,,,,,,,101.325,NBS Tables,,,A,,,,,,,,,,,,,,
Ba,oxide,,BaBr2·BaO·2H2O,BaBr2·BaO,dihydrate,2H2O,solid,,486.5282,,-2033.4,,,,,,,,,,,,,,,,,,,,,,,,,,,101.325,NBS Tables,,,A,,,,,,,,,,,,,,
Ba,oxide,,BaBr2·BaO·5H2O,BaBr2·BaO,5-hydrate,5H2O,solid,,540.5744,,-2951.4,,,,,,,,,,,,,,,,,,,,,,,,,,,101.325,NBS Tables,,,A,,,,,,,,,,,,,,
Ba,oxide,,BaI2·BaO·2H2O,BaI2·BaO,dihydrate,2H2O,solid,,580.519,,-1905.0,,,,,,,,,,,,,,,,,,,,,,,,,,,101.325,NBS Tables,,,A,,,,,,,,,,,,,,
Ba,oxide,,BaI2·BaO·9H2O,BaI2·BaO,9-hydrate,9H2O,solid,,706.6268,,-3995.7,,,,,,,,,,,,,,,,,,,,,,,,,,,101.325,NBS Tables,,,A,,,,,,,,,,,,,,
Ba,oxide,,BaS2O6·2H2O,BaS2O6,dihydrate,2H2O,solid,,333.4952,,-2337.2,,,,,,,,,,,,,,,,,,,,,,,,,,,101.325,NBS Tables,,,A,,,,,,,,,,,,,,
Ba,oxide,,BaS2O8·4H2O,BaS2O8,4-hydrate,4H2O,solid,,401.5248,,-3095.3,,,,,,,,,,,,,,,,,,,,,,,,,,,101.325,NBS Tables,,,A,,,,,,,,,,,,,,
Ba,oxide,,BaS4O6·2H2O,BaS4O6,dihydrate,2H2O,solid,,397.6232,,-2361.0,,,,,,,,,,,,,,,,,,,,,,,,,,,101.325,NBS Tables,,,A,,,,,,,,,,,,,,
Ba,sulfate,,BaSO4·2H2SO4·H2O,BaSO4·2H2SO4,monohydrate,H2O,solid,,447.5722,,-3430.0,,,,,,,,,,,,,,,,,,,,,,,,,,,101.325,NBS Tables,,,A,,,,,,,,,,,,,,
Ba,phosphate,,Ba(H2PO2)2·H2O,Ba(H2PO2)2,monohydrate,H2O,solid,,285.3326,,-2052.3,,,,,,,,,,,,,,,,,,,,,,,,,,,101.325,NBS Tables,,,A,,,,,,,,,,,,,,
Ba,oxide,,BaC2O4·0.5H2O,BaC2O4·0,5-hydrate,5H2O,solid,,234.3677,,-1528.8,,,,,,,,,,,,,,,,,,,,,,,,,,,101.325,NBS Tables,,,A,,,,,,,,,,,,,,
Ba,oxide,,BaC2O4·2H2O,BaC2O4,dihydrate,2H2O,solid,,261.3908,,-1971.1,,,,,,,,,,,,,,,,,,,,,,,,,,,101.325,NBS Tables,,,A,,,,,,,,,,,,,,
Ba,oxide,,BaC2O4·3.5H2O,BaC2O4·3,5-hydrate,5H2O,solid,,288.4139,,-2412.5,,,,,,,,,,,,,,,,,,,,,,,,,,,101.325,NBS Tables,,,A,,,,,,,,,,,,,,
Ba,oxide,,BaO·Al2O3·H2O,BaO·Al2O3,monohydrate,H2O,solid,,273.316,,-2649.7,,,,,,,,,,,,,,,,,,,,,,,,,,,101.325,NBS Tables,,,A,,,,,,,,,,,,,,
Ba,oxide,,BaO·Al2O3·2H2O,BaO·Al2O3,dihydrate,2H2O,solid,,291.3314,,-2949.7,,,,,,,,,,,,,,,,,,,,,,,,,,,101.325,NBS Tables,,,A,,,,,,,,,,,,,,
Ba,oxide,,BaO·Al2O3·4H2O,BaO·Al2O3,4-hydrate,4H2O,solid,,327.3622,,-3558.9,,,,,,,,,,,,,,,,,,,,,,,,,,,101.325,NBS Tables,,,A,,,,,,,,,,,,,,
Ba,oxide,,BaO·Al2O3·7H2O,BaO·Al2O3,7-hydrate,7H2O,solid,,381.4084,,-4441.3,,,,,,,,,,,,,,,,,,,,,,,,,,,101.325,NBS Tables,,,A,,,,,,,,,,,,,,
Li,chloride,Lithium chloride,LiCl·H2O,LiCl,monohydrate,H2O,solid,,60.4094,,-712.58,-631.8,,102.84,,,,,,,,,,,,,,,,,,,,,,,,101.325,NBS Tables,,,A,,,,,,,,,,,,,,
Li,chloride,Lithium chloride,LiCl·2H2O,LiCl,dihydrate,2H2O,solid,,78.4248,,-1012.65,,,,,,,,,,,,,,,,,,,,,,,,,,,101.325,NBS Tables,,,A,,,,,,,,,,,,,,
Li,chloride,Lithium chloride,LiCl·3H2O,LiCl,trihydrate,3H2O,solid,,96.4402,,-1311.3,,,,,,,,,,,,,,,,,,,,,,,,,,,101.325,NBS Tables,,,A,,,,,,,,,,,,,,
Li,oxide,,LiClO3·0.25H2O,LiClO3·0,25-hydrate,25H2O,solid,,94.896,,,-328.24,,,,,,,,,,,,,,,,,,,,,,,,,,101.325,NBS Tables,,,A,,,,,,,,,,,,,,
Li,oxide,,LiClO4·H2O,LiClO4,monohydrate,H2O,solid,,124.407,,-697.1,-509.5,,155.2,,,,,,,,,,,,,,,,,,,,,,,,101.325,NBS Tables,,,A,,,,,,,,,,,,,,
Li,oxide,,LiClO4·3H2O,LiClO4,trihydrate,3H2O,solid,,160.4378,,-1297.96,-1001.0,,254.8,,,,,,,,,,,,,,,,,,,,,,,,101.325,NBS Tables,,,A,,,,,,,,,,,,,,
Li,sulfate,,Li2SO4·H2O,Li2SO4,monohydrate,H2O,solid,,127.959,-1715.52,-1735.5,-1565.5,23.836,163.6,151.08,1180.6906899866365,,,,,,,,,,,,,,,,,,,,,,101.325,NBS Tables,,,A,,,,,,,,,,,,,,
Li,oxide,,LiNO2·0.5H2O,LiNO2·0,5-hydrate,5H2O,solid,,61.9542,,,-423.3,,,,,,,,,,,,,,,,,,,,,,,,,,101.325,NBS Tables,,,A,,,,,,,,,,,,,,
Li,oxide,Lithium nitrite,LiNO2·H2O,LiNO2,monohydrate,H2O,solid,,70.9619,,-676.1,-544.2,,121.0,,,,,,,,,,,,,,,,,,,,,,,,101.325,NBS Tables,,,A,,,,,,,,,,,,,,
Li,oxide,Lithium nitrate,LiNO3·3H2O,LiNO3,trihydrate,3H2O,solid,,122.9921,,-1374.4,-1103.5,,223.4,,,,,,,,,,,,,,,,,,,,,,,,101.325,NBS Tables,,,A,,,,,,,,,,,,,,
Li,oxide,,Li2CrO4·2H2O,Li2CrO4,dihydrate,2H2O,solid,,165.9064,,-1984.5,-1761.0,,209.0,,,,,,,,,,,,,,,,,,,,,,,,101.325,NBS Tables,,,A,,,,,,,,,,,,,,
Na,oxide,,Na2O2·8H2O,Na2O2,8-hydrate,8H2O,solid,,222.1016,,-2943.0,,,,,,,,,,,,,,,,,,,,,,,,,,,101.325,NBS Tables,,,A,,,,,,,,,,,,,,
Na,oxide,,NaClO2·3H2O,NaClO2,trihydrate,3H2O,solid,,144.4878,,-1192.77,,,,,,,,,,,,,,,,,,,,,,,,,,,101.325,NBS Tables,,,A,,,,,,,,,,,,,,
Na,oxide,,NaClO4·H2O,NaClO4,monohydrate,H2O,solid,,140.4558,,-677.77,-494.29,,190.8,,,,,,,,,,,,,,,,,,,,,,,,101.325,NBS Tables,,,A,,,,,,,,,,,,,,
