formula,CID,CAS,color,boiling_point_text,Tb_C_pubchem,melting_point_text,Tm_C_pubchem,solubility,density_text,density_g_per_cm3_pubchem,vapor_pressure_text,vapor_pressure_mmHg_pubchem,decomposition_text,stability,Td_C_pubchem,flash_point_text,flash_point_C_pubchem
Ca3(PO4)2,24456.0,7758-87-4,"White amorphous powder; White, crystalline powder; Two crystalline modifications are known, the high temperature alpha- and the low-temperature beta-form, transition temperature 110 °C.; Rhombohedral crystals /Whitlockite/",,,1670 °C,1670.0,"7.7g/L; Practically insoluble in water; insoluble in ethanol, soluble in dilute hydrochloric and nitric acid; Practically insol in alcohol and acetic acid; sol in dilute hydrochloric acid, nitric acid; Solubility in cold water: 2 mg/100 cc; 2.5 mg/100 g water at 25 °C",3.14 g/cu cm,3.14,,,,"STABLE IN AIR /TRIBASIC CALCIUM PHOSPHATE, NATIONAL FORMULARY/",,,
CaHPO4,24441.0,7757-93-9,Triclinic crystals; White crystalline powder,,,,,"Sparingly soluble in water. Insoluble in ethanol; Solubility: cold water 0.0316 g/100 cc @ 38 °C; hot water 0.075 g/100 cc @ 100 °C /Calcium hydrogen phosphate dihydrate/; Practically insol in water, alc; Sol in dil hydrochloric, nitric & acetic acids","Monoclinic crystals; density: 2.31 /Calcium hydrogen phosphate dihydrate, brushite/",2.31,,,,STABLE IN AIR,,,
Ca(H2PO4)2,24454.0,7758-23-8,"SHINING TRICLINIC PLATES, CRYSTALLINE POWDER OR GRANULES; COLORLESS, PEARLY SCALES OR POWDER",,,,,Solubility: Cold water 1.8 g/100 cc @ 30 °C; decomposes in hot water. /Calcium phosphate monobasic monohydrate/; SOL IN DIL HYDROCHLORIC ACID; MODERATELY SOL IN WATER; SOL IN NITRIC ACID OR ACETIC ACID,2.220 @ 18 °C/4 °C,2.22,,,,,,,
CaCO3,10112.0,471-34-1,White hexagonal crystals or powder (Calcite); white orthrombic crystals or powder (Argonite); colorless hexagonal crystals (vaterite),Decomposes,2024.0,1517-2442 °F (Decomposes),-1374.44,"0.001 % (NIOSH, 2024); Practically insoluble in water and in alcohol. Dissolves with effervescence in diluted acetic acid, in diluted hydrochloric acid and in diluted nitric acid, and the resulting solutions, after boiling, give positive tests for calcium.; Solubility Product constant: 3.36X10-9 at 25 °C; ALKALI HYDROXIDE REDUCES ITS SOLUBILITY; INSOL IN ALCOHOL; SOLUBILITY IN H2O INCR BY AMMONIUM SALT & BY CO2; Practically insoluble in water; soluble in dilute acids; For more Solubility (Complete) data for CALCIUM CARBONATE (6 total), please visit the HSDB record page.; Solubility in water, mg/l at 25Â °C: 14 (very poor); 0.001%",2.7-2.95,2.7,0 mmHg (approx),0.0,825Â °C,Indefinite shelflife.; STABLE IN AIR,825.0,,
CaCN2,4293993.0,17292-62-5,,,,,,,,,,,,,,,
SrCO3,15407.0,1633-05-2,WHITE POWDER; Colorless or white rhombic crystalline solid transforming to hexagonal above 926 °C; White orthorhombic crystals; White crystalline powder,,,1494 °C,1494.0,"11 MG/L OF WATER AT 18 °C; 650 MG/L OF WATER AT 100 °C; Sol in ammonium salts; Sol in dilute acids; SOL IN 100,000 PARTS WATER; IN ABOUT 1000 PARTS WATER SATURATED WITH CARBON DIOXIDE.; Soluble in acids, carbonated water, and solutions of ammonium salts; Solubility in water, g/100ml at 18Â °C: 0.011 (very poor)",3.5 g/cmÂ³,3.5,,,DECOMPOSES AT 1100 °C INTO STRONTIUM OXIDE AND CARBON DIOXIDE,,1100.0,,
SrTiO3,82899.0,12060-59-2,,,,,,,,,,,,,,,
BaO2,6093286.0,17194-00-2,White powder,,,408 °C,408.0,"4.91 g/100 g water at 25 °C; Insoluble in acetone; Water solubility in wt %: 1.65%, 0 °C; 3.74%, 20 °C; 7.60%, 40 °C; 17.32%, 60 °C; 50.35%, 80 °C",Heat of fusion: 265 kJ/kg; heat-storage density: 657 MJ/cu m /Barium hydroxide octahydrate/,4.495,0 mm Hg,0.0,,,,,
BaSO4,24414.0,7727-43-7,"Fine, heavy powder or polymorphous crystals; White, orthorhombic crystals; White or yellowish powder; Opaque powder",2912 °F (Decomposes),1600.0,2876 °F,1580.0,"0.0002 % at 64 °F (NIOSH, 2024); Very slightly soluble in cold water; SOLUBILITY IN WATER INCREASES CONSIDERABLY IN PRESENCE OF CHLORIDE & OTHER ANIONS; 0.00031 g/100 g water at 20 °C; insol in ethanol; Soluble in hot concentrated sulfuric acid; practically insoluble in dilute acids and alcohol; Practically insoluble in organic solvents; very slightly soluble in alkalis and in solution of many salts; Solubility in water: none; (64 °F): 0.0002%",4.25-4.5,4.25,0 mmHg (approx),0.0,1600Â °C,,1600.0,,
Ba3N2,175687781.0,,,,,,,,,,,,,,,,
BaCO3,10563.0,513-77-9,"White, heavy powder",,,No melting point; decomposes at >1300Â °C,1300.0,"In water, 0.0014 g/100 g at 20 °C; Slightly soluble (1:1000) in carbon dioxide-water; soluble in dilute hydrochloric acid, nitric acid or acetic acid; soluble in ammonium chloride or ammonium nitrate solutions; Insoluble in sulfuric acid; Insoluble in ethanol; Solubility in water, g/100ml at 20Â °C: 0.002 (very poor)",4.43 g/cmÂ³,4.43,Essentially zero,,,Thermally stable,,,
BaCrO4,92026178.0,,,,,,,,,,,,,,,,
Li2O,166630.0,12057-24-8,,,,,,,,,,,,,,,
Li2O2,6327156.0,,,,,,,,,,,,,,,,
LiClO4,23665649.0,7791-03-9,,,,,,,,,,,,,,,
Li2SO4,66320.0,10377-48-7,,,,,,,,,,,,,,,
Li3N,520242.0,26134-62-3,,,,,,,,,,,,,,,
Li3PO4,165867.0,10377-52-3,,,,,,,,,,,,,,,
Li2CO3,11125.0,554-13-2,"White, light, alkaline powder; White monoclinic crystals",Decomposes at 1300 °C,1300.0,723Â °C,723.0,"100mM; Solubility in water (wt%): 1.52 at 0 °C; 1.31 at 20 °C; 1.16 at 40 °C; 1.00 at 60 °C; 0.84 at 80 °C; 0.71 at 100 °C; Insoluble in alcohol; soluble in dilute acid; Insoluble in acetone, ammonia; Solubility in water, g/100ml: 1.3 (poor)",2.1 g/cmÂ³,2.1,,,1310Â °C,,1310.0,,
LiBF4,4298216.0,14283-07-9,,,,,,,,,,,,,,,
NaHF2,219061.0,1333-83-1,"COLORLESS, OR WHITE CRYSTALLINE POWDER, RHOMBOHEDRAL",,,"Decomposes in melting (USCG, 1999)",1999.0,SOL IN COLD & HOT WATER,2.08,2.08,,,,,,,
Na2S,14804.0,,"CLEAR CRYSTALS; YELLOW OR BRICK-RED LUMPS OR FLAKES; CUBIC CRYSTALS OR GRANULES; AMORPHOUS, YELLOW-PINK OR WHITE CRYSTALS; Yellow or brick-red lumps or flakes or deliquescent crystals.; White to pink, crystalline solid.","Very high (USCG, 1999)",1999.0,1180 °C (IN VACUO),1180.0,Slightly soluble in alcohol; insoluble in ether.; Solubility in water (g/100 g water): 8.1 (-9.0 °C); 12.4 (0 °C); 18.6 (20 °C); 29.0 (40 °C); 35.7 (48 °C); 39.0 (50 °C).,1.86 g/cmÂ³,1.86,,,920-950Â °C,UNSTABLE,920.0,,
Na2S2,89870.0,22868-13-9,,,,,,,,,,,,,,,
Na2S4,82835.0,12034-39-8,,,,,,,,,,,,,,,
NaHS,28015.0,16721-80-5,Rhombohedric-cubic crystals. White to colorless.; Colorless rhombohedral crystals.,Boiling point at 1 atm: (approx) 212 °F= 100 °C= 373 deg K. /Sodium Hydrosulfide Solution/,100.0,"Turns yellow upon heating in dry air, changing to orange at higher temperatures. Forms a black liquid at the melting point. Gives a blue-green solution in dimethylformamide. Very hygroscopic. Readily hydrolyzed in moist air to NaOH and Na2S.",2.0,"SOL IN WATER, ALCOHOL, ETHER; In water, 50 g/100 cu cm water at 22 °C.; Solubility in water, g/100ml at 20Â °C: 50-60 (good)",1.8 g/cmÂ³,1.8,negligible,49.12,350Â °C,READILY HYDROLYZED IN MOIST AIR TO SODIUM HYDROXIDE & SODIUM SULFIDE,350.0,,
NaN3,33557.0,26628-22-8,"Colorless hexagonal crystals; Colorless to white, crystalline solid [Note: Forms hydrazoic acid (HN3) in water]",Decomposes,1998.0,527 °F (Decomposes),275.0,"50 to 100 mg/mL at 72 °F (NTP, 1992); In water, 41.0 g/100 mL at 17 °C; Highly soluble in water. Rapidly converted to hydrazoic acid ... Solubility in water: 40.16% at 10 °C; 41.7% at 17 °C; Slightly soluble in ethanol, insoluble in ethyl ether; Slightly soluble in alcohol; insoluble in ether; soluble in liquid ammonia; Solubility in water, g/100ml at 17Â °C: 41.7 (good); (63 °F): 42%",1.85,1.85,"Vapor pressure, Pa at 20Â °C: 1",0.007501,275Â °C,Stable under recommended storage conditions.; Heat and shock sensitive.; ... Stable in water in the absence of light ... .,275.0,"Not flammable (EPA, 1998)",1998.0
NaCN,8929.0,143-33-9,"White cubic crystals; WHITE SOLID IN FORM OF GRANULES, FLAKES, OR EGGS (RESEMBLING CHICKEN EGGS); White, granular or crystalline solid.",2725 °F,1496.11,1047 °F,563.89,"greater than or equal to 100 mg/mL at 68 °F (NTP, 1992); 48 G/100 CC WATER @ 10 °C; 82 G/100 CC WATER @ 35 °C; Slightly sol in alcohol; Solubility in water, g/l at 20Â °C: 480-520 (freely soluble); (77 °F): 58%",1.60,1.6,0 mmHg (approx),0.0,... If involved in a fire decomposes to produce hydrogen cyanide and oxides of nitrogen.,AQ SOLN ... RAPIDLY DECOMPOSES ON STANDING.; Aqueous solutions of sodium cyanide are slightly hydrolyzed (Kh= 2.5X10-5) at ordinary temperatures to produce hydrogen cyanide.,,"Not combustible (EPA, 1998)",1998.0
Na2SiF6,28127.0,16893-85-9,"WHITE GRANULAR POWDER; White, hexagonal crystals.; White, crystalline powder.; White, free-flowing powder.",,,Melts at red heat with decomposition.,,"SOL IN 150 PARTS COLD, 40 PARTS BOILING WATER; INSOL IN ALCOHOL; Insoluble in ethanol.; In water, 0.64 g/100 g at 20 °C, 0.76 g/100 g at 25 °C, 1.27 g/100 g at 50 °C, 2.45 g/100 g at 100 °C.; Solubility in water, g/100ml at 20Â °C: 0.76 (poor)",Relative density (water = 1): 2.7,1.0,,,When heated to decomposition it emits toxic fumes of /hydrogen fluoride/ and Na2O.,,2.0,,
NaBF4,4343483.0,13755-29-8,,,,,,,,,,,,,,,
Na3AlF6,16693908.0,15096-52-3,"MONOCLINIC CRYSTALS (NATURAL PRODUCT); AMORPHOUS POWDER (SYNTHETIC PRODUCT); Snow-white, semi-opaque masses, vitreous fracture. Monoclinic crystals with cubic habit, perfect cleavage. The natural form may be colored reddish or brown or even black, but loses this discoloration on heating.",Decomposes,2024.0,1832 °F,1000.0,"0.04 % (NIOSH, 2024); SOL IN DILUTE ALKALI; SOL IN FUSED ALUMINUM, FERRIC SALTS; INSOL IN ALCOHOL; Sol in concentrated sulfuric acid; For more Solubility (Complete) data for ALUMINUM SODIUM FLUORIDE (8 total), please visit the HSDB record page.; Solubility in water, g/100ml at 25Â °C: 0.042 (very poor); 0.04%",2.90,2.9,0 mmHg (approx),0.0,Decomposes by boiling with aqueous alkali hydroxides or aqueous calcium hydroxide,"Low melting solids or colorless, volatile liquids. /Alkylaluminum halides/; Less sensitive than trialkylaminums to oxidation upon exposure to air. /Alkylaluminum halides/",,,
KO3,11553430.0,256934-39-1,,,,,,,,,,,,,,,
K2O2,28202.0,17014-71-0,Yellow amorphous solid; WHITE POWDER,,,490 °C,490.0,Reacts with water,greater than 1 at 20 °C,1.0,,,,,,,
KHF2,11829350.0,7789-29-9,,,,,,,,,,,,,,,
KClO4,516900.0,7778-74-7,"COLORLESS CRYSTALS OR WHITE, CRYSTALLINE POWDER; Colorless orthorhombic crystals",,,525 °C,525.0,"17; SOL IN 65 PARTS COLD WATER, 15 PARTS BOILING WATER; PRACTICALLY INSOL IN ALCOHOL; In water, 15 g/l at 25 °C.; INSOL IN ETHER; Solubility in water, g/100ml at 20Â °C: 1.8",2.5 g/cmÂ³,2.5,,,400Â °C,POTASSIUM PERCHLORATE CAPSULES HAVE EXPIRATION DATE OF 6 MO FOLLOWING DATE OF MANUFACTURE,400.0,,
K2S2,129628555.0,,,,,,,,,,,,,,,,
K2S2O8,24412.0,7727-21-1,"COLORLESS, TRICLINIC CRYSTALS; WHITE CRYSTALS",,,,,"1.75 G IN 100 CC OF WATER @ 0 °C; 5.2 G IN 100 CC OF HOT WATER @ 20 °C; INSOL IN ALCOHOL; Solubility in water, g/100ml at 20Â °C: 5.2",2.48,2.48,,,"Dangerous when heated to decomp, emits highly toxic fumes of /sulfur oxides/.","GRADUALLY DECOMP LOSING AVAIL OXYGEN, MORE QUICKLY AT HIGHER TEMP, COMPLETELY AT ABOUT 100 °C",,,
KHS,57388872.0,1371635-84-5,,,,,,,,,,,,,,,
KHSO4,516920.0,7646-93-7,,,,,,"Freely soluble in water, insoluble in ethanol; Solubility in water, g/100ml: 49 (very good)",2.2 g/cmÂ³,2.2,,,195-214Â °C,,195.0,,
K3PO4,62657.0,7778-53-2,,,,,,Freely soluble in water. Insoluble in ethanol,,,,,,,,,
KH2PO4,516951.0,7778-77-0,Colorless crystals or white granular powder; White tetragonal crystals,,,253Â °C,253.0,"Freely soluble in water. Insoluble in ethanol; Solubility: 18 g/100g water /Monopotassium phosphate anhydrous/; Soluble in about 4.5 parts water; insoluble in alcohol; Solubility: 25 g/100 cc water at 25 °C. Slightly soluble in ethanol; Solubility in water, g/100ml: 22",2.34 g/cmÂ³,2.34,,,,,,,
KPF6,23688904.0,17084-13-8,,,,,,,,,,,,,,,
KC4,60196738.0,,,,,,,,,,,,,,,,
KC8,135567259.0,,,,,,,,,,,,,,,,
K2CO3,11430.0,584-08-7,"Colorless cubic crystals; hygroscopic; Granules or granular powder; White, deliquescent, granular, translucent powder",Decomposes,,891Â °C,891.0,"Very soluble in water. Insoluble in ethanol; For more Solubility (Complete) data for POTASSIUM CARBONATE (6 total), please visit the HSDB record page.; Insoluble in alcohol and acetone; 111 g/100 g water at 25 °C; Soluble in 1 part cold, 0.7 part boiling water.; Solubility in water (g K2CO3/100 g H2O): 105.5 at 0 °C; 108.0 at 10 °C; 110.5 at 20 °C; 113.7 at 30 °C; 155.7 at 100 °C; Solubility in water, g/100ml at 20Â °C: 112",2.29 g/cmÂ³,2.29,,,When heated to decomposition it emits toxic fumes of K2O.,,2.0,,
KHCO3,516893.0,298-14-6,,,,Decomposes before melting,,Soluble; Freely soluble in water. Insoluble in ethanol,,,,,,,,,
KCN,9032.0,151-50-8,"White, granular powder or fused pieces; White amorphous lumps or crystalline mass; White cubic crystals; White, granular or crystalline solid.",2957 °F,1625.0,1173 °F,633.89,"72 % at 77 °F (NIOSH, 2024); Sol in 2 parts cold, 1 part boiling water; Sol in 2 parts glycerol; 100 g/100 cc hot water above 176 °F; Sol in 25 parts methanol; For more Solubility (Complete) data for POTASSIUM CYANIDE (13 total), please visit the HSDB record page.; Solubility in water, g/l at 25Â °C: 716 (freely soluble); (77 °F): 72%",1.55,1.55,0 mmHg (approx),0.0,"When heated to decomposition, it emits very toxic fumes of /dipotassium oxide, hydrogen cyanide, and nitrogen oxides/.","In air, it is gradually decomp on exposure to carbon dioxide and moisture.",80.0,"Not flammable (EPA, 1998)",1998.0
KBF4,518872.0,14075-53-7,,,,,,,,,,,,,,,
K3AlCl6,6432088.0,,,,,,,,,,,,,,,,
KMnO4,516875.0,7722-64-7,Dark purple or bronze-like crystals; Almost opaque by transmitted light and of a blue metallic luster by reflected air.; Purple orthorhombic crystals; Bipyrimidal rhombic prisms,,,Decomposes,240.0,"Soluble in many organic solvents; also by concentrated acids with the liberation of oxygen.; Soluble in acetone and methanol; Soluble in acetic acid, trifluoroacetic acid, acetic anhydride, pyridine, benzonitrile, sulfolane.; In water, 6.40X10+4 mg/l @ 20 °C; 25 g/100 @ 65 °C water; Solubility in water, g/100ml at 20Â °C: 6.4 (moderate)",2.7 g/cmÂ³,2.7,Vapor pressure at 20Â °C: negligible,,240Â °C,STABLE IN AIR AND LIGHT; SOLN ARE UNSTABLE,240.0,,
K2Cr2O7,24502.0,7778-50-9,Orange-red triclinic crystals; Bright orange-red crystals,Decomposes at about 500 °C,500.0,398Â °C,398.0,"10 to 50 mg/mL at 68 °F (NTP, 1992); In water, 45,000 mg/L at 25 °C; Solubility in water: 4.9 g/100 cc at 0 °C; 102 g/100 cc at 100 °C; insoluble in alcohol; Saturated aqueous solution contains 4.3% at 0 °C; 11.7% at 20 °C; 20.9% at 40 °C; 50.2% at 100 °C; Solubility in water, g/100ml at 20Â °C: 12 (moderate)",2.7 g/cmÂ³,2.7,,,500Â °C,Stable under recommended storage conditions.; More stable than sodium dichromate in humid conditions.,500.0,,
AgNO3,24470.0,7761-88-8,Colorless rhombic cyrstals; Transparent large crystals or white small crystals,440 °C (decomposes),440.0,212Â °C,212.0,"greater than or equal to 100 mg/mL at 61 °F (NTP, 1992); For more Solubility (Complete) data for SILVER NITRATE (6 total), please visit the HSDB record page.; 122 G SOL IN 100 CC WATER @ 0 °C; 952 G SOL IN 100 CC WATER @ 190 °C; 1 g sol in 30 ml alcohol; 1 g sol in 6.5 ml boiling alcohol; 1 g sol in 253 ml acetone; readily sol in ammonia water; SOL IN ETHER, GLYCEROL; 245 g/100 g of water; Solubility in water: very soluble",Density  (at 20Â °C): 4.35 g/ml,4.35,,,444Â °C,"Light sensitive.; On exposure to air or light in the presence of organic matter, silver nitrate becomes grey or greyish-black.; In the presence of a trace of nitric acid, silver nitrate is stable to 350 °C",444.0,,
Ca(NO3)2,24963.0,10124-37-5,"Deliquescent granules; White, cubic crystals; White mass",,,560Â °C,560.0,"Very sol in water; freely sol in methanol, ethanol, acetone; almost insol in concn nitric acid; SOL IN ANHYD AMMONIA; IN ALCOHOL 14 G/100 CC @ 15 °C; Soluble in acetone; insoluble in ethanol; Solubility in water, g/100ml: 121.2",2.50 g/cmÂ³,2.5,,,When heated to decomposition it emits toxic fumes of nitroxides.,,,,
Mg(NO3)2,25212.0,10377-60-3,White cubic crystals,"Decomposes at 626 °F (USCG, 1999)",330.0,"192 °F (USCG, 1999)",88.89,Very soluble in water; 71.2 g/100g H2O at 25 °C; Solubility in water: very good,"Colorless, monoclinic, crystals; BP, decomposes @ 330 °C with loss of 5 H2O; MP, 95 °C; density, 1.464; deliquescent /Hexahydrate/",2.0256,0.494 mm Hg @ 25 °C (65.2 Pa),0.494,330Â °C,,330.0,,
Zn(NO3)2,24518.0,7779-88-6,White powder,,,~110Â °C,110.0,"SOLUBILITY: 184.3 G/100 CC WATER @ 20 °C /HEXAHYDRATE/; Soluble in alcohol.; In water, 93 g/100g.; Solubility in water, g/100ml at 20Â °C: 200 (very good)",Relative density (water = 1): 2.07 (hexahydrate),1.0,,,When heated to decomp it emits toxic fumes of /nitrogen oxides and zinc oxide/.,,,,
Cu(NO3)2,18616.0,3251-23-8,"Large, blue-green, orthorhombic crystals",Sublimes,,255-256 °C,-256.0,"137.8 g/100 cc water @ 0 °C, 1270 g/100 cc water @ 100 °C, 100 g/100 cc alcohol @ 12.5 °C, very slightly sol in liq ammonia /Cupric nitrate trihydrate/; 243.7 g/100 cc water @ 0 °C, sol in all proportions in hot water, sol in alcohol /Cupric nitrate hexahydrate/; Sol in water, ethyl acetate, dioxane","2.32 at 68 °F (USCG, 1999) - Denser than water; will sink",2.32,,,,,,,
Al(NO3)3,16713320.0,,,,,,,,,,,,,,,,
AgNO2,160904.0,7783-99-5,,,,,,,,,,,,,,,
NaBr,253881.0,7647-15-6,"White crystals, granules, or powder; White, cubic crystals",1390 °C,1390.0,755 °C,755.0,"Moderately soluble in alcohol; 1 g dissolves in 1.1 mL water, about 16 mL alcohol, 6 mL methanol; In water, 94.6 g/100 g water at 25 °C",3.21,3.21,,,When heated to decomposition it emits toxic fumes of /bromine and sodium oxide/.,,,,
KBr,253877.0,7758-02-3,"Colorless crystals or white granules or powder; Colorless cubic crystals; White, crystalline powder or granules",1435 °C,1435.0,730 °C,730.0,"greater than or equal to 100 mg/mL at 59 °F (NTP, 1992); In water, 67.8 g/100 g at 25 °C; Soluble in water; 1 g dissolves in 1.5 mL water, 1 mL boiling water; 1 g dissolves in 250 mL alcohol, 21 mL boiling alcohol, 4.6 mL glycerol; For more Solubility (Complete) data for Potassium bromide (6 total), please visit the HSDB record page.",2.74 g/cu cm at 25 °C,2.74,VP: 1 mm Hg at 795 °C,1.0,When heated to decomposition it emits toxic fumes of /potassium oxide and hydrogen bromides/.,Stable under recommended storage conditions.,,,
LiBr,82050.0,7550-35-8,,,,,,,,,,,,,,,
MgBr2,82241.0,7789-48-2,,,,,,,,,,,,,,,
CaBr2,5360316.0,7789-41-5,"Deliquescent granules or orthorhombic crystals; Rhombohedral crystals; hygroscopic; Colorless, orthorhombic, deliquescent crystals; Becomes yellow on exposure to air","BP: 806-812 °C, very deliquescent",-812.0,730Â °C,730.0,"In water, 156 g/100 g water at 25 °C; Water solubilty[Table#8606]; In water, 1420 g/L at 30 °C; Very soluble in water; For more Solubility (Complete) data for Calcium bromide (6 total), please visit the HSDB record page.; Solubility in water, g/100ml at 30Â °C: 142",3.4 g/cmÂ³,3.4,,,810Â °C,Stable under recommended storage conditions.,810.0,,
BaBr2,66350.0,,,,,,,,,,,,,,,,
SrBr2,25302.0,,,,,,,,,,,,,,,,
FeBr2,425646.0,,,,,,,,,,,,,,,,
FeBr3,25554.0,,,,,,,,,,,,,,,,
ZnBr2,24375.0,,,,,,,,,,,,,,,,
NiBr2,278492.0,13462-88-9,,,,,,,"4 at 68 °F (est) (USCG, 1999) - Denser than water; will sink",4.0,,,,,,,
CuBr,24593.0,7787-70-4,White powder or cubic crystals (zinc blende structure); White tetrahedral crystals; White crystalline solid becoming green in light,1345 °C,1345.0,504 °C,504.0,"Slightly sol in cold water; sol in hydrochloric acid, hydrobromic acid, ammonium hydroxide with the formation of complexes; practically insoluble in acetone, concentrated sulfuric acid; Soluble in hydrochloric acid and ammonium hydroxide; insoluble in acetone and sulfuric acid; Slightly soluble in water",4.72 @ 25 °C/4 °C,4.72,1 MM HG @ 572 °C,1.0,"WHEN STRONGLY HEATED, THEY EMIT HIGHLY TOXIC FUMES OF /HYDROGEN BROMIDE/. /BROMIDES/",It oxidizes slowly in air ... .,,,
CuBr2,24611.0,7789-45-9,"Almost black, iodine like, monoclinic crystals or crystalline powder",900 °C,900.0,498 °C,498.0,"Very sol in water; sol in alcohol, acetone, ammonia; practically insol in benzene, ether, concentrated sulfuric acid; Very sol in water; sol in ethanol, acetone; insoluble in benzene, ethyl ether; 126 parts/100 parts water; Anhydrous product is very soluble in water (55.7 g/100g solution) and soluble in ethanol and acetone.",4.710 @ 20 °C/4 °C,4.71,,,"WHEN STRONGLY HEATED, THEY EMIT HIGHLY TOXIC FUMES OF /HYDROGEN BROMIDE/. /BROMIDES/",,,,
AlBr3,24409.0,7727-15-3,White-yellowish monoclinic crystals; White to yellowish-red lumps,255 °C,255.0,97.5 °C,97.5,"It is similar to anhydrous AlCl3 but is more reactive and more sol in organic media. ... Fumes strongly in air; combines with water with violence.; Sol in many organic solvents such as benzene, nitrobenzene, toluene, xylene, simple hydrocarbons; Sol in ether",3.2,3.2,1 mm Hg at 81.3 °C,1.0,When heated to decomposition it emits toxic fumes of /hydrogen bromide/.,"Fumes strongly in air... . Keep /anhydrous form/ tightly closed and protect from moisture. ...Keep /hexahydrate form/ well closed.; Low melting solids or colorless, volatile liquids. /Alkylaluminum halides/; Less sensitive than trialkylaminums to oxidation upon exposure to air. /Alkylaluminum halides/",,,
AgBr,66199.0,7785-23-1,,,,,,,,,,,,,,,
MgI2,66322.0,10377-58-9,,,,,,,,,,,,,,,
CaI2,5462722.0,10102-68-8,,,,,,,,,,,,,,,
SrI2,25304.0,10476-86-5,,,,,,,,,,,,,,,
FeI2,422512.0,,,,,,,,,,,,,,,,
ZnI2,9883512.0,,,,,,,,,,,,,,,,
CuI2,83717.0,13767-71-0,,,,,,,,,,,,,,,
AlI3,82222.0,7784-23-8,,,,,,,,,,,,,,,
