Nr,SiO2,Al2O3,Na2O,K2O,Li2O,CaO,MgO,BaO,ZnO,PbO,B2O3,"Calc. T,°C, for log η 2.0","ΔT,°C, for log η 2.0","Calc. T,°C, for log η 4.0","ΔT,°C, for log η 4.0","Calc. T,°C, for log η 6.0","ΔT,°C, for log η 6.0"
S1,77.02,0.19,12.03,0.13,0,10.12,0,0,0,0,0,1503.7,-5.3,1054.3,-4.8,843.3,-5.4
2,66.65,8.26,10.78,2.25,0,10.5,1.68,0,0,0,0,1535,2.4,1089,2,877.2,1.1
3,66.5,5.98,10.55,4,0,11.92,0.74,0,0,0,0,1478.2,1.2,1054.2,0.9,853.4,0
4,66.88,4,10.85,6.25,0,9.58,2.15,0,0,0,0,1455.3,1.9,1034.4,1,831.1,0.4
5,65.96,2.23,10.41,8.2,0,11.08,1.24,0,0,0,0,1402.5,0.6,1002.9,0.4,810.1,-0.1
6,68.73,4.08,11.87,0.02,0,13.32,1.85,0,0,0,0,1446,-3.6,1044.9,-1.4,853.1,-2.1
7,71.41,2.21,12.44,2.6,0,10.1,0.77,0,0,0,0,1465.9,-2.9,1034,-2.1,829.9,-2.5
8,68.47,0.36,12,4.4,0,11.78,2.15,0,0,0,0,1382.5,5.7,996.2,-2.5,809,-2.5
9,65.62,7.11,11.28,6.05,0,8.5,1.19,0,0,0,0,1509.9,4.3,1058.2,2,844.6,1.3
10,64.95,5.36,11.29,8.4,0,10.04,,0,0,0,0,1445.5,3.9,1017.2,1.9,815.9,1.2
11,67.34,7.3,12.71,0.03,0,11.74,0.64,0,0,0,0,1499,-1.6,1063.7,-0.2,861.2,-0.8
12,68.18,5.37,12.62,2.3,0,8.78,2.3,0,0,0,0,1494.3,-0.7,1055,-0.3,845.5,-0.6
13,67.38,3.36,12.72,4.3,0,10.65,1.2,0,0,0,0,1424.3,-1.1,1012.5,-0.3,817,-0.6
14,66.64,2.26,12.49,6.5,0,12.1,,0,0,0,0,1375.1,-0.8,981.3,-0.3,795.9,-0.5
15,66.93,0,12.66,8.7,0,9.6,1.68,0,0,0,0,1355.9,-0.5,964.2,-0.3,775.1,-0.3
16,69.7,2.23,14.06,0.04,0,11.05,2.23,0,0,0,0,1422.7,-4.7,1017.8,-2.1,824.6,-2.3
17,69.06,0.16,13.8,2.35,0,12.89,1.09,0,0,0,0,1357.8,-4.5,978.7,-2.1,798.5,-2.3
18,65.6,7.18,13.47,4.4,0,9.45,,0,0,0,0,1479.5,1.1,1033.4,0.9,827.7,0.6
19,63.32,5.08,12.71,6.2,0,10.51,1.71,0,0,0,0,1400.8,1.4,1000.3,1.7,809.2,1.5
20,65.46,3.59,13.44,8.2,0,8.57,0.72,0,0,0,0,1405,1.5,984.9,0.7,786.9,0.7
21,67.91,5.43,15.27,0.02,0,9.74,1.25,0,0,0,0,1458.9,-3.8,1028,-1.3,827.5,-1.3
22,67.2,4.14,14.58,2.4,0,11.26,,0,0,0,0,1412.9,-3.1,999.8,-1.1,808.8,-1.2
23,67.69,1.95,14.87,4.4,0,8.83,1.74,0,0,0,0,1393.5,-2.8,983.7,-1.2,789.3,-0.9
24,67.03,0.37,14.62,6.4,0,10.54,0.54,0,0,0,0,1336.4,-3.2,948.9,-1.5,766.2,-1.1
25,59.52,6.73,13.16,7.6,0,10.98,1.98,0,0,0,0,1361.6,3.6,979.5,3.8,797,3.6
26,71.7,2.17,11.16,2.48,0,10.03,1.98,0,0,0,0,1480.1,-2.3,1051,-1.8,844.5,-2.3
27,69.27,2.35,11.96,6.8,0,8.2,1.27,0,0,0,0,1453.8,0.8,1019.7,-0.3,812.5,-0.6
28,72.37,2.02,12.87,0.08,0,11.12,0.65,0,0,0,0,1467.3,-4.9,1039.1,-2.9,837.6,-3.1
29,70.27,2.15,13.8,4.6,0,8.83,0,0,0,0,0,1444.7,-2.2,1007.7,-1.9,804.1,-1.8
30,63.5,2.3,13.64,7.9,0,10.3,2.18,0,0,0,0,1332.7,0.3,955.4,1.1,773.6,1.3
D1,72.41,1.23,14.19,0,0,12.17,0,0,0,0,0,1423.4,7.3,1010.8,3.4,818.5,0.3
2,72.55,1.23,13.85,0,0.18,12.19,0,0,0,0,0,1421.1,8.7,1008,4.5,815.6,2.5
3,72.84,1.24,13.15,0,0.54,12.24,0,0,0,0,0,1416.9,5.4,1002.9,4.8,809.9,5
4,73.26,1.24,12.09,0,1.09,12.31,0,0,0,0,0,1410.2,4.9,994.8,5.9,801.2,6.9
5,68.4,1.16,13.41,0,0,8.3,0,8.73,0,0,0,1404.4,6,990.9,2.4,798.1,2.6
6,64.82,1.1,12.7,0,0,4.48,0,16.54,0,0,0,1385.7,-2.7,971.2,-1.1,777.9,-1.3
7,70.39,1.19,13.8,0,0,9.85,0,0,4.77,0,0,1420,2.2,1009.8,3.1,816.1,3.2
8,69.36,1.18,13.59,0,0,6.47,0,0,9.39,0,0,1436.7,-0.6,1015.8,-1.4,814.8,-1.5
9,70.92,1.2,13.9,0,0,11.92,0,0,0,0,2.05,1373.5,9.4,982.2,6.8,803.4,6.1
10,69.5,1.18,13.62,0,0,11.68,0,0,0,0,4.03,1325.6,13.1,956.1,6.3,789.9,3.6
13,68.94,1.17,13.51,0,0,9.97,0,0,0,6.4,0,1405.9,2.1,991.2,4.2,799.8,3.1
14,65.79,1.12,12.89,0,0,7.58,0,0,0,12.22,0,1395.5,-3.2,974,-7.9,781.6,-5.8
15,68.13,1.16,13.35,0,0,11.45,0,0,0,0,5.92,1282.7,3.5,933.9,-0.3,778.7,-1.9
17,62.01,1.05,12.15,0,0,10.42,0,0,0,0,14.37,1200,1.4,905.3,0.7,772.4,0.6
